PubmedID,Title,Publication Date,Authors,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40072460,FFR-Guided Percutaneous Coronary Intervention vs Coronary Artery Bypass Grafting in Patients With Diabetes.,2025,"Kuniaki Takahashi, Hisao Otsuki, Frederik M Zimmermann, Victoria Y Ding, Thomas Engstrøm, Hans Gustav Hørsted Thyregod, Branko Beleslin, Svetozar Putnik, Luke Tapp, Thomas Barker, Simon Redwood, Christopher Young, G Jan-Willem Bech, Gerard J F Hoohenkerk, Bernard De Bruyne, Nico H J Pijls, William F Fearon, Unknown","G Jan-Willem Bech, Gerard J F Hoohenkerk, Bernard De Bruyne",None,N/A
40072362,Association between vitamin D level and risk of type 2 diabetes: a systematic review of Mendelian Randomization studies.,2025,"Kexin Sun, Yunan Chen, Hugh Simon Hung San Lam, Edmund Anthony Severn Nelson, Alice Pik-Shan Kong, Shiu Lun Au Yeung, Lai Ling Hui",None,"Department of Medicine & Therapeutics, The Chinese University of Hong Kong, Hong Kong SAR, China.",N/A
40072255,Enablers and Barriers to an Experience-Based Co-Design Process to Develop Service Improvements in Enhanced Community Care in Ireland: A Qualitative Study.,2025,"Fay O'Donoghue, Máire T O'Donnell, Tomás P Griffin, Eileen Fahy, Elaine Newell, Ann-Marie Creaven","Eileen Fahy, Elaine Newell",None,N/A
40072219,Diagnosis and Treatment of Gestational Diabetes Mellitus: A National Survey of Physician Practices.,2025,"Sarah E Miller, Meryl M Sperling, Jonathan A Mayo, Stephanie A Leonard, Deirdre J Lyell, Tiffany Herrero, Yair J Blumenfeld",None,None,N/A
40072115,"Insights into the Roles of GLP-1, DPP-4, and SGLT2 at the Crossroads of Cardiovascular, Renal, and Metabolic Pathophysiology.",2025,"Melania Gaggini, Laura Sabatino, Adrian Florentin Suman, Kyriazoula Chatzianagnostou, Cristina Vassalle","Kyriazoula Chatzianagnostou, Cristina Vassalle",None,N/A
40072104,"Diabetic Retinopathy (DR): Mechanisms, Current Therapies, and Emerging Strategies.",2025,"Hyewon Seo, Sun-Ji Park, Minsoo Song","Hyewon Seo, Sun-Ji Park, Minsoo Song",None,N/A
40072094,Spheroids Composed of Reaggregated Neonatal Porcine Islets and Human Endothelial Cells Accelerate Development of Normoglycemia in Diabetic Mice.,2025,"Mohsen Honarpisheh, Yutian Lei, Antonia Follenzi, Alessia Cucci, Cristina Olgasi, Ekaterine Berishvili, Fanny Lebreton, Kevin Bellofatto, Lorenzo Piemonti, Antonio Citro, Francesco Campo, Cataldo Pignatelli, Olivier Thaunat, Elisabeth Kemter, Martin Kraetzl, Eckhard Wolf, Jochen Seissler, Lelia Wolf-van Buerck, Unknown","Mohsen Honarpisheh, Yutian Lei, Olivier Thaunat, Elisabeth Kemter, Martin Kraetzl, Eckhard Wolf, Jochen Seissler, Lelia Wolf-van Buerck","Molecular Animal Breeding and Biotechnology, Gene Centre and Department of Veterinary Sciences, Ludwig-Maximilians-Universität München, 80539 Munich, Germany.",N/A
40072093,Modification of RNF183 via m6A Methylation Mediates Podocyte Dysfunction in Diabetic Nephropathy by Regulating PKM2 Ubiquitination and Degradation.,2025,"Dongwei Guo, Yingxue Pang, Wenjie Wang, Yueying Feng, Luxuan Wang, Yuanyuan Sun, Jun Hao, Fan Li, Song Zhao",None,None,N/A
40072066,Finerenone Alleviates Over-Activation of Complement C5a-C5aR1 Axis of Macrophages by Regulating G Protein Subunit Alpha i2 to Improve Diabetic Nephropathy.,2025,"Zi-Han Li, Zi-Jun Sun, Sydney C W Tang, Ming-Hui Zhao, Min Chen, Dong-Yuan Chang",None,None,N/A
40072061,Angiogenic Events Positively Modulated by Complex Magnetic Fields in an In Vitro Endothelial Cell Model.,2025,"Alessia Ricci, Amelia Cataldi, Marialucia Gallorini, Viviana di Giacomo, Monica Rapino, Natalia Di Pietro, Marco Mantarro, Adriano Piattelli, Susi Zara",Marco Mantarro,"Department of Medical, Oral and Biotechnological Sciences, ""G. d'Annunzio"" University of Chieti-Pescara, 66100 Chieti, Italy., Department of Pharmacy, ""G. d'Annunzio"" University of Chieti-Pescara, 66100 Chieti, Italy.",N/A
